time_ms,node_id,name,type,ecef_x,ecef_y,ecef_z,altitude_km,orbit_id,ip,norad_id,distance_km,radius_km
300000,SAT_62474,STARLINK-11502 [DTC],SAT,-1605614.15,5585758.65,3391799.6,356.58,-1,10.0.3.254,62474,412.07,6729.2645230582375
300000,SAT_58748,STARLINK-31165,SAT,-1379624.76,5842038.9,3347698.74,500.08,-1,10.0.3.98,58748,511.12,6873.126642316135
300000,SAT_60445,STARLINK-32228,SAT,-1679620.34,5661237.3,3469728.27,476.44,-1,10.0.3.10,60445,542.79,6849.06902586696
300000,SAT_57931,STARLINK-30488,SAT,-1550314.07,5744660.16,3557145.87,559.89,-1,10.0.3.46,57931,582.48,6932.379159422056
300000,SAT_60935,STARLINK-11253 [DTC],SAT,-1135697.87,5904366.78,3032571.38,360.3,-1,10.0.3.245,60935,592.71,6734.080924631454
300000,SAT_64911,STARLINK-34718,SAT,-1452088.81,5955075.23,3057409.51,475.9,-1,10.0.3.141,64911,612.21,6849.76173446385
300000,SAT_64928,STARLINK-34248,SAT,-1819537.69,5612661.04,3478642.99,476.75,-1,10.0.3.158,64928,623.59,6849.353137862039
300000,SAT_53996,STARLINK-5131,SAT,-1733437.69,5891577.54,3176150.45,540.39,-1,10.0.3.191,53996,659.3,6914.002011569001
300000,SAT_59943,STARLINK-31973,SAT,-1527463.66,5977867.18,2992472.72,483.28,-1,10.0.3.18,59943,666.42,6857.327047347672
300000,SAT_57671,STARLINK-30296,SAT,-1149233.9,6014723.41,3069434.25,475.92,-1,10.0.3.41,57671,684.52,6849.749110061208
301000,SAT_62474,STARLINK-11502 [DTC],SAT,-1612043.28,5586058.74,3388262.9,356.57,-1,10.0.3.254,62474,412.07,6729.26899914396
301000,SAT_58748,STARLINK-31165,SAT,-1385873.96,5842648.4,3344062.32,500.07,-1,10.0.3.98,58748,511.12,6873.131728627964
301000,SAT_60445,STARLINK-32228,SAT,-1685086.56,5662517.53,3465001.4,476.43,-1,10.0.3.10,60445,542.79,6849.077032290694
301000,SAT_57931,STARLINK-30488,SAT,-1555602.78,5741114.7,3560550.0,559.9,-1,10.0.3.46,57931,582.48,6932.37436310243
301000,SAT_60935,STARLINK-11253 [DTC],SAT,-1139855.37,5900940.05,3037658.58,360.3,-1,10.0.3.245,60935,592.71,6734.072570655848
301000,SAT_64911,STARLINK-34718,SAT,-1456019.89,5951502.35,3062474.25,475.91,-1,10.0.3.141,64911,612.21,6849.753475421155
301000,SAT_64928,STARLINK-34248,SAT,-1823319.61,5608498.33,3483357.24,476.76,-1,10.0.3.158,64928,623.59,6849.34490146932
301000,SAT_53996,STARLINK-5131,SAT,-1738648.56,5892735.45,3171168.1,540.39,-1,10.0.3.191,53996,659.3,6914.010197948393
301000,SAT_59943,STARLINK-31973,SAT,-1532552.31,5974556.92,2996467.11,483.28,-1,10.0.3.18,59943,666.42,6857.321788753826
301000,SAT_57671,STARLINK-30296,SAT,-1154298.76,6016342.7,3064374.76,475.92,-1,10.0.3.41,57671,684.52,6849.757497963405
302000,SAT_62474,STARLINK-11502 [DTC],SAT,-1618470.27,5586352.5,3384721.77,356.57,-1,10.0.3.254,62474,412.07,6729.2734919485965
302000,SAT_58748,STARLINK-31165,SAT,-1392121.37,5843251.68,3340421.78,500.07,-1,10.0.3.98,58748,511.12,6873.1368219272235
302000,SAT_60445,STARLINK-32228,SAT,-1690550.51,5663791.55,3460270.22,476.42,-1,10.0.3.10,60445,542.79,6849.085029705173
302000,SAT_57931,STARLINK-30488,SAT,-1560890.16,5737563.19,3563949.86,559.9,-1,10.0.3.46,57931,582.48,6932.369584451036
302000,SAT_60935,STARLINK-11253 [DTC],SAT,-1144011.89,5897506.26,3042741.8,360.31,-1,10.0.3.245,60935,592.71,6734.064222493561
302000,SAT_64911,STARLINK-34718,SAT,-1459949.69,5947922.68,3067535.18,475.91,-1,10.0.3.141,64911,612.21,6849.74520585453
302000,SAT_64928,STARLINK-34248,SAT,-1827099.89,5604329.25,3488067.16,476.76,-1,10.0.3.158,64928,623.59,6849.3366732198265
302000,SAT_53996,STARLINK-5131,SAT,-1743857.18,5893887.04,3166181.92,540.38,-1,10.0.3.191,53996,659.3,6914.0183869478105
302000,SAT_59943,STARLINK-31973,SAT,-1537639.55,5971240.04,3000457.78,483.29,-1,10.0.3.18,59943,666.42,6857.316522560842
302000,SAT_57671,STARLINK-30296,SAT,-1159361.96,6017955.3,3059311.46,475.91,-1,10.0.3.41,57671,684.52,6849.765890625785
303000,SAT_62474,STARLINK-11502 [DTC],SAT,-1624895.11,5586639.91,3381176.2,356.56,-1,10.0.3.254,62474,412.07,6729.277977461858
303000,SAT_58748,STARLINK-31165,SAT,-1398367.0,5843848.72,3336777.13,500.06,-1,10.0.3.98,58748,511.12,6873.141912126191
