time_ms,node_id,role,type,ecef_x,ecef_y,ecef_z,ip,heading_deg,battery_pct
0,GS_01,CLIENT,GS,-1337502.5,5364429.5,3170603.2,10.0.0.1,-1.0,-1
0,UAV_01,RELAY,UAV,-1337513.0,5364471.5,3170628.2,10.0.0.2,88.6,100.0
0,UAV_02,RELAY,UAV,-1336774.4,5364317.3,3171196.9,10.0.0.3,223.8,100.0
0,UAV_03,RELAY,UAV,-1338645.7,5363922.5,3171076.3,10.0.0.4,337.6,100.0
0,UAV_04,RELAY,UAV,-1335919.7,5364842.5,3170672.3,10.0.0.5,181.5,100.0
0,UAV_05,RELAY,UAV,-1337858.7,5365357.0,3168995.1,10.0.0.6,86.3,100.0
0,UAV_06,RELAY,UAV,-1336879.0,5363560.0,3172425.7,10.0.0.7,259.1,100.0
0,UAV_07,RELAY,UAV,-1336953.0,5363428.0,3172616.7,10.0.0.8,263.2,100.0
100,GS_01,CLIENT,GS,-1337502.5,5364429.5,3170603.2,10.0.0.1,-1.0,-1
100,UAV_01,RELAY,UAV,-1337514.3,5364471.0,3170628.5,10.0.0.2,64.1,100.0
100,UAV_02,RELAY,UAV,-1336773.6,5364318.0,3171196.0,10.0.0.3,223.8,100.0
100,UAV_03,RELAY,UAV,-1338645.0,5363921.9,3171077.5,10.0.0.4,337.6,100.0
100,UAV_04,RELAY,UAV,-1335919.8,5364843.3,3170671.0,10.0.0.5,181.5,100.0
100,UAV_05,RELAY,UAV,-1337860.2,5365356.6,3168995.2,10.0.0.6,86.3,100.0
100,UAV_06,RELAY,UAV,-1336877.6,5363560.5,3172425.5,10.0.0.7,259.1,100.0
100,UAV_07,RELAY,UAV,-1336951.6,5363428.4,3172616.5,10.0.0.8,263.2,100.0
200,GS_01,CLIENT,GS,-1337502.5,5364429.5,3170603.2,10.0.0.1,-1.0,-1
200,UAV_01,RELAY,UAV,-1337515.3,5364470.3,3170629.3,10.0.0.2,40.6,100.0
200,UAV_02,RELAY,UAV,-1336772.7,5364318.8,3171195.1,10.0.0.3,223.8,100.0
200,UAV_03,RELAY,UAV,-1338644.2,5363921.4,3171078.7,10.0.0.4,337.6,100.0
200,UAV_04,RELAY,UAV,-1335919.9,5364844.0,3170669.7,10.0.0.5,181.5,100.0
200,UAV_05,RELAY,UAV,-1337861.6,5365356.2,3168995.3,10.0.0.6,86.3,100.0
200,UAV_06,RELAY,UAV,-1336876.2,5363561.0,3172425.2,10.0.0.7,259.1,100.0
200,UAV_07,RELAY,UAV,-1336950.1,5363428.9,3172616.4,10.0.0.8,263.2,100.0
300,GS_01,CLIENT,GS,-1337502.5,5364429.5,3170603.2,10.0.0.1,-1.0,-1
300,UAV_01,RELAY,UAV,-1337515.9,5364469.4,3170630.5,10.0.0.2,18.8,100.0
300,UAV_02,RELAY,UAV,-1336771.8,5364319.6,3171194.1,10.0.0.3,223.8,100.0
300,UAV_03,RELAY,UAV,-1338643.5,5363920.9,3171079.9,10.0.0.4,337.6,100.0
300,UAV_04,RELAY,UAV,-1335920.1,5364844.7,3170668.4,10.0.0.5,181.5,100.0
300,UAV_05,RELAY,UAV,-1337863.1,5365355.8,3168995.4,10.0.0.6,86.3,100.0
300,UAV_06,RELAY,UAV,-1336874.8,5363561.5,3172425.0,10.0.0.7,259.1,100.0
300,UAV_07,RELAY,UAV,-1336948.7,5363429.3,3172616.2,10.0.0.8,263.2,100.0
400,GS_01,CLIENT,GS,-1337502.5,5364429.5,3170603.2,10.0.0.1,-1.0,-1
400,UAV_01,RELAY,UAV,-1337516.0,5364468.7,3170631.7,10.0.0.2,0.7,100.0
400,UAV_02,RELAY,UAV,-1336770.9,5364320.4,3171193.2,10.0.0.3,223.8,100.0
400,UAV_03,RELAY,UAV,-1338642.8,5363920.3,3171081.1,10.0.0.4,337.6,100.0
400,UAV_04,RELAY,UAV,-1335920.2,5364845.5,3170667.1,10.0.0.5,181.5,100.0
400,UAV_05,RELAY,UAV,-1337864.5,5365355.4,3168995.4,10.0.0.6,86.3,100.0
400,UAV_06,RELAY,UAV,-1336873.4,5363562.0,3172424.7,10.0.0.7,259.1,100.0
400,UAV_07,RELAY,UAV,-1336947.3,5363429.7,3172616.0,10.0.0.8,263.2,100.0
500,GS_01,CLIENT,GS,-1337502.5,5364429.5,3170603.2,10.0.0.1,-1.0,-1
500,UAV_01,RELAY,UAV,-1337515.6,5364468.0,3170633.0,10.0.0.2,346.0,100.0
500,UAV_02,RELAY,UAV,-1336770.1,5364321.1,3171192.2,10.0.0.3,223.8,100.0
500,UAV_03,RELAY,UAV,-1338642.1,5363919.8,3171082.3,10.0.0.4,337.6,100.0
500,UAV_04,RELAY,UAV,-1335920.4,5364846.2,3170665.8,10.0.0.5,181.5,100.0
500,UAV_05,RELAY,UAV,-1337866.0,5365355.0,3168995.5,10.0.0.6,86.3,100.0
500,UAV_06,RELAY,UAV,-1336872.0,5363562.5,3172424.5,10.0.0.7,259.1,100.0
500,UAV_07,RELAY,UAV,-1336945.9,5363430.2,3172615.9,10.0.0.8,263.2,100.0
600,GS_01,CLIENT,GS,-1337502.5,5364429.5,3170603.2,10.0.0.1,-1.0,-1
600,UAV_01,RELAY,UAV,-1337515.0,5364467.4,3170634.2,10.0.0.2,334.0,99.9
600,UAV_02,RELAY,UAV,-1336769.2,5364321.9,3171191.3,10.0.0.3,223.8,99.9
600,UAV_03,RELAY,UAV,-1338641.4,5363919.3,3171083.5,10.0.0.4,337.6,99.9
600,UAV_04,RELAY,UAV,-1335920.5,5364846.9,3170664.5,10.0.0.5,181.5,99.9
600,UAV_05,RELAY,UAV,-1337867.4,5365354.6,3168995.6,10.0.0.6,86.3,99.9
600,UAV_06,RELAY,UAV,-1336870.6,5363563.0,3172424.2,10.0.0.7,259.1,99.9
600,UAV_07,RELAY,UAV,-1336944.4,5363430.6,3172615.7,10.0.0.8,263.2,99.9
700,GS_01,CLIENT,GS,-1337502.5,5364429.5,3170603.2,10.0.0.1,-1.0,-1
700,UAV_01,RELAY,UAV,-1337514.0,5364467.0,3170635.3,10.0.0.2,322.5,99.9
700,UAV_02,RELAY,UAV,-1336768.3,5364322.7,3171190.4,10.0.0.3,223.8,99.9
700,UAV_03,RELAY,UAV,-1338640.6,5363918.7,3171084.7,10.0.0.4,337.6,99.9
700,UAV_04,RELAY,UAV,-1335920.7,5364847.7,3170663.2,10.0.0.5,181.5,99.9
700,UAV_05,RELAY,UAV,-1337868.8,5365354.2,3168995.7,10.0.0.6,86.3,99.9
700,UAV_06,RELAY,UAV,-1336869.2,5363563.5,3172424.0,10.0.0.7,259.1,99.9
700,UAV_07,RELAY,UAV,-1336943.0,5363431.1,3172615.6,10.0.0.8,263.2,99.9
800,GS_01,CLIENT,GS,-1337502.5,5364429.5,3170603.2,10.0.0.1,-1.0,-1
800,UAV_01,RELAY,UAV,-1337512.9,5364466.7,3170636.3,10.0.0.2,311.4,99.9
800,UAV_02,RELAY,UAV,-1336767.4,5364323.5,3171189.4,10.0.0.3,223.8,99.9
800,UAV_03,RELAY,UAV,-1338639.9,5363918.2,3171085.9,10.0.0.4,337.6,99.9
800,UAV_04,RELAY,UAV,-1335920.8,5364848.4,3170661.9,10.0.0.5,181.5,99.9
800,UAV_05,RELAY,UAV,-1337870.3,5365353.8,3168995.8,10.0.0.6,86.3,99.9
800,UAV_06,RELAY,UAV,-1336867.8,5363564.0,3172423.8,10.0.0.7,259.1,99.9
800,UAV_07,RELAY,UAV,-1336941.6,5363431.5,3172615.4,10.0.0.8,263.2,99.9
900,GS_01,CLIENT,GS,-1337502.5,5364429.5,3170603.2,10.0.0.1,-1.0,-1
900,UAV_01,RELAY,UAV,-1337511.6,5364466.6,3170637.0,10.0.0.2,302.4,99.9
900,UAV_02,RELAY,UAV,-1336766.6,5364324.2,3171188.5,10.0.0.3,223.8,99.9
900,UAV_03,RELAY,UAV,-1338639.2,5363917.7,3171087.1,10.0.0.4,336.3,99.9
900,UAV_04,RELAY,UAV,-1335920.9,5364849.2,3170660.6,10.0.0.5,181.5,99.9
900,UAV_05,RELAY,UAV,-1337871.7,5365353.4,3168995.9,10.0.0.6,86.3,99.9
900,UAV_06,RELAY,UAV,-1336866.4,5363564.5,3172423.5,10.0.0.7,259.1,99.9
900,UAV_07,RELAY,UAV,-1336940.2,5363432.0,3172615.3,10.0.0.8,263.2,99.9
1000,GS_01,CLIENT,GS,-1337502.5,5364429.5,3170603.2,10.0.0.1,-1.0,-1
1000,UAV_01,RELAY,UAV,-1337510.3,5364466.6,3170637.6,10.0.0.2,293.6,99.9
1000,UAV_02,RELAY,UAV,-1336765.7,5364325.0,3171187.5,10.0.0.3,223.8,99.9
1000,UAV_03,RELAY,UAV,-1338638.4,5363917.1,3171088.3,10.0.0.4,336.3,99.9
1000,UAV_04,RELAY,UAV,-1335921.1,5364849.9,3170659.3,10.0.0.5,181.5,99.9
1000,UAV_05,RELAY,UAV,-1337873.2,5365352.9,3168996.0,10.0.0.6,86.3,99.9
1000,UAV_06,RELAY,UAV,-1336865.0,5363565.0,3172423.3,10.0.0.7,259.1,99.9
1000,UAV_07,RELAY,UAV,-1336938.7,5363432.4,3172615.1,10.0.0.8,263.2,99.9
1100,GS_01,CLIENT,GS,-1337502.5,5364429.5,3170603.2,10.0.0.1,-1.0,-1
1100,UAV_01,RELAY,UAV,-1337508.8,5364466.7,3170638.1,10.0.0.2,285.1,99.9
1100,UAV_02,RELAY,UAV,-1336764.8,5364325.8,3171186.6,10.0.0.3,223.8,99.9
1100,UAV_03,RELAY,UAV,-1338637.7,5363916.6,3171089.5,10.0.0.4,336.3,99.9
1100,UAV_04,RELAY,UAV,-1335921.2,5364850.6,3170658.0,10.0.0.5,181.5,99.9
1100,UAV_05,RELAY,UAV,-1337874.6,5365352.5,3168996.0,10.0.0.6,86.3,99.9
