time_ms,node_id,role,type,ecef_x,ecef_y,ecef_z,ip,heading_deg,battery_pct
0,GS_01,CLIENT,GS,-1337502.5,5364429.5,3170603.2,10.0.0.1,-1.0,-1
0,UAV_01,RELAY,UAV,-1337513.0,5364471.5,3170628.2,10.0.0.2,88.6,100.0
0,UAV_02,RELAY,UAV,-1337057.9,5365075.0,3169804.7,10.0.0.3,122.2,100.0
0,UAV_03,RELAY,UAV,-1338486.8,5363664.3,3171576.7,10.0.0.4,316.6,100.0
0,UAV_04,RELAY,UAV,-1339249.6,5364546.1,3169775.1,10.0.0.5,31.0,100.0
0,UAV_05,CACHE,UAV,-1336252.8,5363769.2,3172336.5,10.0.0.6,241.8,100.0
100,GS_01,CLIENT,GS,-1337502.5,5364429.5,3170603.2,10.0.0.1,-1.0,-1
100,UAV_01,RELAY,UAV,-1337514.3,5364471.0,3170628.5,10.0.0.2,64.1,100.0
100,UAV_02,RELAY,UAV,-1337059.2,5365075.1,3169804.0,10.0.0.3,122.2,100.0
100,UAV_03,RELAY,UAV,-1338485.7,5363664.0,3171577.7,10.0.0.4,316.6,100.0
100,UAV_04,RELAY,UAV,-1339250.2,5364545.3,3169776.2,10.0.0.5,31.0,100.0
100,UAV_05,CACHE,UAV,-1336251.6,5363769.9,3172335.9,10.0.0.6,241.8,100.0
200,GS_01,CLIENT,GS,-1337502.5,5364429.5,3170603.2,10.0.0.1,-1.0,-1
200,UAV_01,RELAY,UAV,-1337515.3,5364470.3,3170629.3,10.0.0.2,40.6,100.0
200,UAV_02,RELAY,UAV,-1337060.5,5365075.2,3169803.3,10.0.0.3,122.2,100.0
200,UAV_03,RELAY,UAV,-1338484.5,5363663.8,3171578.6,10.0.0.4,316.6,100.0
200,UAV_04,RELAY,UAV,-1339250.8,5364544.5,3169777.3,10.0.0.5,31.0,100.0
200,UAV_05,CACHE,UAV,-1336250.4,5363770.6,3172335.3,10.0.0.6,241.8,100.0
300,GS_01,CLIENT,GS,-1337502.5,5364429.5,3170603.2,10.0.0.1,-1.0,-1
300,UAV_01,RELAY,UAV,-1337515.9,5364469.4,3170630.5,10.0.0.2,18.8,100.0
300,UAV_02,RELAY,UAV,-1337061.9,5365075.3,3169802.6,10.0.0.3,122.2,100.0
300,UAV_03,RELAY,UAV,-1338483.4,5363663.5,3171579.5,10.0.0.4,316.6,100.0
300,UAV_04,RELAY,UAV,-1339251.4,5364543.7,3169778.4,10.0.0.5,31.0,100.0
300,UAV_05,CACHE,UAV,-1336249.2,5363771.2,3172334.7,10.0.0.6,241.8,100.0
400,GS_01,CLIENT,GS,-1337502.5,5364429.5,3170603.2,10.0.0.1,-1.0,-1
400,UAV_01,RELAY,UAV,-1337516.0,5364468.7,3170631.7,10.0.0.2,0.7,100.0
400,UAV_02,RELAY,UAV,-1337063.2,5365075.3,3169801.9,10.0.0.3,122.2,100.0
400,UAV_03,RELAY,UAV,-1338482.3,5363663.2,3171580.5,10.0.0.4,316.6,100.0
400,UAV_04,RELAY,UAV,-1339252.0,5364542.9,3169779.6,10.0.0.5,31.0,100.0
400,UAV_05,CACHE,UAV,-1336248.0,5363771.9,3172334.0,10.0.0.6,241.8,100.0
500,GS_01,CLIENT,GS,-1337502.5,5364429.5,3170603.2,10.0.0.1,-1.0,-1
500,UAV_01,RELAY,UAV,-1337515.6,5364468.0,3170633.0,10.0.0.2,346.0,100.0
500,UAV_02,RELAY,UAV,-1337064.5,5365075.4,3169801.2,10.0.0.3,122.2,100.0
500,UAV_03,RELAY,UAV,-1338481.1,5363662.9,3171581.4,10.0.0.4,316.6,100.0
500,UAV_04,RELAY,UAV,-1339252.6,5364542.1,3169780.7,10.0.0.5,31.0,100.0
500,UAV_05,CACHE,UAV,-1336246.8,5363772.6,3172333.4,10.0.0.6,241.8,100.0
600,GS_01,CLIENT,GS,-1337502.5,5364429.5,3170603.2,10.0.0.1,-1.0,-1
600,UAV_01,RELAY,UAV,-1337515.0,5364467.4,3170634.2,10.0.0.2,334.0,99.9
600,UAV_02,RELAY,UAV,-1337065.8,5365075.5,3169800.5,10.0.0.3,122.2,99.9
600,UAV_03,RELAY,UAV,-1338480.0,5363662.7,3171582.4,10.0.0.4,316.6,99.9
600,UAV_04,RELAY,UAV,-1339253.2,5364541.3,3169781.8,10.0.0.5,31.0,99.9
600,UAV_05,CACHE,UAV,-1336245.6,5363773.2,3172332.8,10.0.0.6,241.8,99.9
700,GS_01,CLIENT,GS,-1337502.5,5364429.5,3170603.2,10.0.0.1,-1.0,-1
700,UAV_01,RELAY,UAV,-1337514.0,5364467.0,3170635.3,10.0.0.2,322.5,99.9
700,UAV_02,RELAY,UAV,-1337067.2,5365075.6,3169799.8,10.0.0.3,122.2,99.9
700,UAV_03,RELAY,UAV,-1338478.9,5363662.4,3171583.3,10.0.0.4,316.6,99.9
700,UAV_04,RELAY,UAV,-1339253.8,5364540.5,3169782.9,10.0.0.5,31.0,99.9
700,UAV_05,CACHE,UAV,-1336244.4,5363773.9,3172332.2,10.0.0.6,241.8,99.9
800,GS_01,CLIENT,GS,-1337502.5,5364429.5,3170603.2,10.0.0.1,-1.0,-1
800,UAV_01,RELAY,UAV,-1337512.9,5364466.7,3170636.3,10.0.0.2,311.4,99.9
800,UAV_02,RELAY,UAV,-1337068.5,5365075.6,3169799.1,10.0.0.3,120.8,99.9
800,UAV_03,RELAY,UAV,-1338477.8,5363662.1,3171584.3,10.0.0.4,316.6,99.9
800,UAV_04,RELAY,UAV,-1339254.4,5364539.7,3169784.0,10.0.0.5,31.0,99.9
800,UAV_05,CACHE,UAV,-1336243.2,5363774.6,3172331.6,10.0.0.6,241.8,99.9
900,GS_01,CLIENT,GS,-1337502.5,5364429.5,3170603.2,10.0.0.1,-1.0,-1
900,UAV_01,RELAY,UAV,-1337511.6,5364466.6,3170637.0,10.0.0.2,302.4,99.9
900,UAV_02,RELAY,UAV,-1337069.8,5365075.7,3169798.5,10.0.0.3,120.8,99.9
900,UAV_03,RELAY,UAV,-1338476.6,5363661.8,3171585.2,10.0.0.4,315.2,99.9
900,UAV_04,RELAY,UAV,-1339255.0,5364538.8,3169785.1,10.0.0.5,31.0,99.9
900,UAV_05,CACHE,UAV,-1336242.0,5363775.2,3172331.0,10.0.0.6,241.8,99.9
1000,GS_01,CLIENT,GS,-1337502.5,5364429.5,3170603.2,10.0.0.1,-1.0,-1
1000,UAV_01,RELAY,UAV,-1337510.3,5364466.6,3170637.6,10.0.0.2,293.6,99.9
1000,UAV_02,RELAY,UAV,-1337071.2,5365075.8,3169797.8,10.0.0.3,120.8,99.9
1000,UAV_03,RELAY,UAV,-1338475.5,5363661.6,3171586.1,10.0.0.4,315.2,99.9
1000,UAV_04,RELAY,UAV,-1339255.6,5364538.0,3169786.2,10.0.0.5,31.0,99.9
1000,UAV_05,CACHE,UAV,-1336240.8,5363775.9,3172330.4,10.0.0.6,241.8,99.9
1100,GS_01,CLIENT,GS,-1337502.5,5364429.5,3170603.2,10.0.0.1,-1.0,-1
1100,UAV_01,RELAY,UAV,-1337508.8,5364466.7,3170638.1,10.0.0.2,285.1,99.9
1100,UAV_02,RELAY,UAV,-1337072.5,5365075.8,3169797.2,10.0.0.3,120.8,99.9
1100,UAV_03,RELAY,UAV,-1338474.3,5363661.3,3171587.0,10.0.0.4,315.2,99.9
1100,UAV_04,RELAY,UAV,-1339256.1,5364537.2,3169787.4,10.0.0.5,31.0,99.9
1100,UAV_05,CACHE,UAV,-1336239.6,5363776.5,3172329.7,10.0.0.6,241.8,99.9
1200,GS_01,CLIENT,GS,-1337502.5,5364429.5,3170603.2,10.0.0.1,-1.0,-1
1200,UAV_01,RELAY,UAV,-1337507.4,5364466.9,3170638.3,10.0.0.2,276.7,99.9
1200,UAV_02,RELAY,UAV,-1337073.9,5365075.9,3169796.5,10.0.0.3,120.8,99.9
1200,UAV_03,RELAY,UAV,-1338473.2,5363661.0,3171588.0,10.0.0.4,315.2,99.9
1200,UAV_04,RELAY,UAV,-1339256.7,5364536.4,3169788.5,10.0.0.5,29.6,99.9
1200,UAV_05,CACHE,UAV,-1336238.4,5363777.2,3172329.1,10.0.0.6,241.8,99.9
1300,GS_01,CLIENT,GS,-1337502.5,5364429.5,3170603.2,10.0.0.1,-1.0,-1
1300,UAV_01,RELAY,UAV,-1337505.9,5364467.2,3170638.4,10.0.0.2,270.0,99.9
1300,UAV_02,RELAY,UAV,-1337075.2,5365076.0,3169795.8,10.0.0.3,120.8,99.9
1300,UAV_03,RELAY,UAV,-1338472.0,5363660.8,3171588.9,10.0.0.4,315.2,99.9
1300,UAV_04,RELAY,UAV,-1339257.3,5364535.6,3169789.6,10.0.0.5,29.6,99.9
1300,UAV_05,CACHE,UAV,-1336237.2,5363777.9,3172328.5,10.0.0.6,241.8,99.9
1400,GS_01,CLIENT,GS,-1337502.5,5364429.5,3170603.2,10.0.0.1,-1.0,-1
1400,UAV_01,RELAY,UAV,-1337504.5,5364467.6,3170638.3,10.0.0.2,263.5,99.9
1400,UAV_02,RELAY,UAV,-1337076.6,5365076.0,3169795.2,10.0.0.3,120.8,99.9
1400,UAV_03,RELAY,UAV,-1338470.8,5363660.5,3171589.8,10.0.0.4,315.2,99.9
1400,UAV_04,RELAY,UAV,-1339257.8,5364534.8,3169790.7,10.0.0.5,29.6,99.9
1400,UAV_05,CACHE,UAV,-1336236.0,5363778.5,3172327.9,10.0.0.6,241.8,99.9
1500,GS_01,CLIENT,GS,-1337502.5,5364429.5,3170603.2,10.0.0.1,-1.0,-1
1500,UAV_01,RELAY,UAV,-1337503.1,5364468.1,3170638.1,10.0.0.2,257.0,99.8
1500,UAV_02,RELAY,UAV,-1337077.9,5365076.1,3169794.5,10.0.0.3,120.8,99.8
1500,UAV_03,RELAY,UAV,-1338469.7,5363660.3,3171590.7,10.0.0.4,315.2,99.8
