time_ms,node_id,name,type,ecef_x,ecef_y,ecef_z,altitude_km,orbit_id,ip,norad_id,distance_km,radius_km
540000,SAT_64914,STARLINK-34571,SAT,-1581519.76,5777878.81,3320801.0,476.2,-1,10.0.3.144,64914,503.04,6849.2924872513995
540000,SAT_60442,STARLINK-32252,SAT,-1384505.78,5642899.38,3625850.34,476.67,-1,10.0.3.7,60442,535.73,6848.792620289792
540000,SAT_67347,STARLINK-36420,SAT,-1690860.58,5644064.06,3508783.44,485.03,-1,10.0.3.27,67347,563.4,6857.552759053324
540000,SAT_67325,STARLINK-36473,SAT,-1616054.51,5597532.32,3614843.68,484.29,-1,10.0.3.5,67325,573.83,6856.463744786511
540000,SAT_57932,STARLINK-30471,SAT,-1166614.47,5865064.26,3421016.32,516.52,-1,10.0.3.47,57932,585.27,6889.362870197002
540000,SAT_46681,STARLINK-1775,SAT,-1626316.97,5829464.98,2912019.37,342.1,-1,10.0.3.16,46681,605.42,6716.206194810548
540000,SAT_53994,STARLINK-5125,SAT,-1186337.86,5809820.42,3554198.54,540.84,-1,10.0.3.189,53994,606.93,6913.301533453931
540000,SAT_63588,STARLINK-33651,SAT,-1032173.24,5819343.86,3475549.88,483.73,-1,10.0.3.93,63588,627.03,6856.354098692673
540000,SAT_64130,STARLINK-11735 [DTC],SAT,-1628312.26,5851517.26,2898159.65,355.7,-1,10.0.3.125,64130,629.33,6729.857681781416
540000,SAT_57928,STARLINK-30448,SAT,-1176305.27,5931887.47,3390452.94,559.97,-1,10.0.3.43,57928,629.55,6932.975853363937
540000,SAT_59307,STARLINK-31282,SAT,-1521662.69,5528839.71,3759417.34,485.19,-1,10.0.3.147,59307,638.47,6856.875718379588
540000,SAT_57923,STARLINK-30440,SAT,-1101120.72,5943219.78,3331282.91,528.44,-1,10.0.3.38,57923,645.52,6901.577647165512
540000,SAT_63704,STARLINK-33937,SAT,-1874230.34,5624585.16,3429750.12,476.47,-1,10.0.3.209,63704,650.32,6849.225027337674
540000,SAT_66391,STARLINK-35656,SAT,-1368097.35,5491343.06,3856728.11,477.09,-1,10.0.3.91,66391,698.43,6848.422495447499
540000,SAT_47733,STARLINK-2143,SAT,-1919993.21,5754953.33,3179685.51,476.03,-1,10.0.3.48,47733,701.35,6849.544634457692
540000,SAT_55451,STARLINK-5656,SAT,-1742403.1,5598054.57,3699554.3,560.57,-1,10.0.3.116,55451,705.91,6932.595873858218
540000,SAT_63587,STARLINK-33830,SAT,-1663755.7,5444486.39,3821240.04,485.08,-1,10.0.3.92,63587,732.24,6856.558212651368
540000,SAT_48406,STARLINK-2568,SAT,-956445.5,5661426.35,3733241.84,476.86,-1,10.0.3.211,48406,741.6,6848.622558359539
540000,SAT_57827,STARLINK-30402,SAT,-1690038.56,5463328.97,3824187.17,508.07,-1,10.0.3.197,57827,749.16,6879.578568482283
540000,SAT_56556,STARLINK-5302,SAT,-1895386.37,5863598.05,3138340.21,541.73,-1,10.0.3.201,56556,749.3,6915.450155792349
540000,SAT_49442,STARLINK-3098,SAT,-1338060.2,6094610.93,2978673.46,540.12,-1,10.0.3.227,49442,754.99,6914.273864131205
540000,SAT_60115,STARLINK-11112 [DTC],SAT,-1415435.11,5283074.94,3926368.55,361.97,-1,10.0.3.190,60115,764.12,6732.808282039956
540000,SAT_57683,STARLINK-30295,SAT,-861472.53,5973500.32,3238764.56,476.07,-1,10.0.3.53,57683,776.03,6849.411424939861
540000,SAT_67494,STARLINK-36396,SAT,-1185151.2,5498475.92,3919725.94,484.68,-1,10.0.3.174,67494,776.12,6855.805733419681
540000,SAT_49438,STARLINK-3044,SAT,-884958.06,5965372.57,3381230.27,540.86,-1,10.0.3.223,49438,781.21,6913.865691899985
540000,SAT_64920,STARLINK-34069,SAT,-1194677.92,6099609.03,2879047.14,475.57,-1,10.0.3.150,64920,803.67,6849.91956782963
540000,SAT_59534,STARLINK-31734,SAT,-2114135.8,5520639.1,3474833.39,484.59,-1,10.0.3.119,59534,848.6,6857.2219842695295
540000,SAT_65689,STARLINK-34875,SAT,-1964824.45,5387679.37,3744504.83,477.29,-1,10.0.3.154,65689,850.55,6849.01018652584
540000,SAT_57373,STARLINK-6370,SAT,-1828251.63,5456030.59,3866490.17,561.11,-1,10.0.3.253,57373,856.44,6932.569513269957
540000,SAT_55498,STARLINK-5365,SAT,-2029719.69,5865170.37,3088033.29,558.36,-1,10.0.3.163,55498,858.33,6932.2388222887885
540000,SAT_58357,STARLINK-30842,SAT,-1415262.65,6126606.4,2756255.03,490.83,-1,10.0.3.217,58357,871.0,6865.509168255933
540000,SAT_65761,STARLINK-34889,SAT,-969634.87,5504591.31,3956593.97,477.04,-1,10.0.3.226,65761,879.06,6848.018188840315
540000,SAT_57463,STARLINK-30091,SAT,-2175527.41,5603757.68,3305117.98,486.79,-1,10.0.3.88,57463,881.85,6859.943477138829
540000,SAT_54055,STARLINK-5158,SAT,-1877613.34,5390616.65,3899084.08,541.5,-1,10.0.3.250,54055,907.24,6912.816819843602
540000,SAT_57825,STARLINK-30377,SAT,-2158221.81,5435498.99,3602461.23,496.56,-1,10.0.3.195,57825,930.13,6868.791565122922
540000,SAT_59078,STARLINK-31274,SAT,-1249406.61,5352261.35,4097039.5,484.7,-1,10.0.3.173,59078,930.7,6855.176956167927
540000,SAT_63194,STARLINK-11636 [DTC],SAT,-1903026.93,5152515.7,3882956.86,355.62,-1,10.0.3.209,63194,933.9,6726.610105519181
540000,SAT_53630,STARLINK-4598,SAT,-2167080.2,5504964.06,3576779.83,540.94,-1,10.0.3.80,53630,934.31,6913.3363759778495
540000,SAT_59924,STARLINK-31958,SAT,-1725407.27,5281820.16,4016992.82,485.67,-1,10.0.3.254,59924,934.7,6856.448480509632
540000,SAT_59312,STARLINK-31445,SAT,-2012190.16,5318502.97,3830321.62,484.71,-1,10.0.3.152,59312,944.74,6856.146643307672
540000,SAT_66341,STARLINK-35522,SAT,-629456.4,5984791.2,3286398.55,483.49,-1,10.0.3.41,66341,948.47,6856.701575578487
540000,SAT_54200,STARLINK-5250,SAT,-1869260.78,6053672.18,2770004.53,540.08,-1,10.0.3.140,54200,958.28,6914.767373004871
540000,SAT_67093,STARLINK-35784,SAT,-2180560.99,5836393.48,3073058.87,573.15,-1,10.0.3.28,67093,971.09,6947.0875842313935
540000,SAT_66403,STARLINK-35602,SAT,-870848.45,5478996.28,4014599.2,477.21,-1,10.0.3.103,66403,971.2,6847.976635164718
540000,SAT_62453,STARLINK-32690,SAT,-1385075.67,5272558.36,4143491.49,477.11,-1,10.0.3.233,62453,978.37,6847.395709241161
540000,SAT_57355,STARLINK-6276,SAT,-1139928.4,5446206.36,4134399.61,561.58,-1,10.0.3.235,57355,987.23,6932.089195040638
540000,SAT_49447,STARLINK-3115,SAT,-977640.75,5491197.87,4083281.58,541.82,-1,10.0.3.232,49447,989.22,6912.468730136896
540000,SAT_67410,STARLINK-36508,SAT,-1183513.27,5318870.1,4161205.44,485.91,-1,10.0.3.90,67410,1003.53,6856.144216308879
540000,SAT_62285,STARLINK-33550,SAT,-531482.02,5847599.84,3541016.1,484.38,-1,10.0.3.65,62285,1010.11,6856.798965028107
540000,SAT_64616,STARLINK-34413,SAT,-533650.42,5957050.76,3336768.29,475.7,-1,10.0.3.101,64616,1012.42,6848.741428111612
541000,SAT_64914,STARLINK-34571,SAT,-1585430.24,5774004.33,3325655.06,476.21,-1,10.0.3.144,64914,503.04,6849.284387939284
541000,SAT_60442,STARLINK-32252,SAT,-1390014.45,5644494.64,3621271.43,476.66,-1,10.0.3.7,60442,535.73,6848.8003826897875
541000,SAT_67347,STARLINK-36420,SAT,-1697255.98,5644286.59,3505345.34,485.03,-1,10.0.3.27,67347,563.4,6857.557504269235
541000,SAT_67325,STARLINK-36473,SAT,-1621384.4,5593855.49,3618138.55,484.3,-1,10.0.3.5,67325,573.83,6856.459230722706
541000,SAT_57932,STARLINK-30471,SAT,-1172077.04,5861895.07,3424569.32,516.52,-1,10.0.3.47,57932,585.27,6889.357983649183
541000,SAT_46681,STARLINK-1775,SAT,-1631514.4,5830604.15,2906846.32,342.1,-1,10.0.3.16,46681,605.42,6716.214671934044
541000,SAT_53994,STARLINK-5125,SAT,-1191669.69,5811589.52,3549534.92,540.83,-1,10.0.3.189,53994,606.93,6913.309449701925
541000,SAT_63588,STARLINK-33651,SAT,-1037763.05,5816266.75,3479025.35,483.74,-1,10.0.3.93,63588,627.03,6856.3494981690865
541000,SAT_64130,STARLINK-11735 [DTC],SAT,-1633373.22,5848083.45,2902227.53,355.71,-1,10.0.3.125,64130,629.33,6729.852357211632
541000,SAT_57928,STARLINK-30448,SAT,-1181716.56,5928745.53,3394055.01,559.98,-1,10.0.3.43,57928,629.55,6932.971008058473
541000,SAT_59307,STARLINK-31282,SAT,-1528228.86,5529136.26,3756324.24,485.18,-1,10.0.3.147,59307,638.47,6856.879977525877
541000,SAT_57923,STARLINK-30440,SAT,-1106560.95,5940150.5,3334941.74,528.45,-1,10.0.3.38,57923,645.52,6901.572393875861
541000,SAT_63704,STARLINK-33937,SAT,-1879707.75,5625669.36,3424987.43,476.46,-1,10.0.3.209,63704,650.32,6849.233232202776
541000,SAT_66391,STARLINK-35656,SAT,-1373786.02,5492976.84,3852390.54,477.08,-1,10.0.3.91,66391,698.43,6848.430146114168
541000,SAT_47733,STARLINK-2143,SAT,-1925300.02,5755936.36,3174711.39,476.03,-1,10.0.3.48,47733,701.35,6849.55297498879
541000,SAT_55451,STARLINK-5656,SAT,-1747652.28,5594284.52,3702771.31,560.57,-1,10.0.3.116,55451,705.91,6932.591373841381
541000,SAT_63587,STARLINK-33830,SAT,-1669194.67,5440713.64,3824232.21,485.09,-1,10.0.3.92,63587,732.24,6856.5536353798
541000,SAT_48406,STARLINK-2568,SAT,-960928.2,5657709.85,3737707.89,476.87,-1,10.0.3.211,48406,741.6,6848.614752145904
541000,SAT_57827,STARLINK-30402,SAT,-1696635.45,5463393.63,3821179.62,508.06,-1,10.0.3.197,57827,749.16,6879.582508759134
541000,SAT_56556,STARLINK-5302,SAT,-1901496.2,5863693.72,3134473.42,541.73,-1,10.0.3.201,56556,749.3,6915.454826782427
541000,SAT_49442,STARLINK-3098,SAT,-1343063.58,6096023.69,2973545.7,540.11,-1,10.0.3.227,49442,754.99,6914.282221529009
541000,SAT_60115,STARLINK-11112 [DTC],SAT,-1421321.93,5284635.59,3922151.59,361.96,-1,10.0.3.190,60115,764.12,6732.815342984917
541000,SAT_57683,STARLINK-30295,SAT,-866554.17,5975443.46,3233838.02,476.07,-1,10.0.3.53,57683,776.03,6849.419611383047
541000,SAT_67494,STARLINK-36396,SAT,-1190980.72,5495192.28,3922555.84,484.69,-1,10.0.3.174,67494,776.12,6855.801746513782
541000,SAT_49438,STARLINK-3044,SAT,-890077.44,5967348.05,3376413.87,540.85,-1,10.0.3.223,49438,781.21,6913.8738215680605
541000,SAT_64920,STARLINK-34069,SAT,-1198716.07,6096353.08,2884240.35,475.58,-1,10.0.3.150,64920,803.67,6849.911203006201
541000,SAT_59534,STARLINK-31734,SAT,-2119041.04,5516561.27,3478310.81,484.6,-1,10.0.3.119,59534,848.6,6857.217312134066
541000,SAT_65689,STARLINK-34875,SAT,-1968564.19,5383204.89,3748958.75,477.29,-1,10.0.3.154,65689,850.55,6849.002231498529
541000,SAT_57373,STARLINK-6370,SAT,-1834827.06,5455937.29,3863513.49,561.1,-1,10.0.3.253,57373,856.44,6932.573731301584
541000,SAT_55498,STARLINK-5365,SAT,-2034507.27,5861442.46,3091947.81,558.37,-1,10.0.3.163,55498,858.33,6932.234041298484
541000,SAT_58357,STARLINK-30842,SAT,-1420329.88,6123535.71,2760454.69,490.84,-1,10.0.3.217,58357,871.0,6865.503379593445
541000,SAT_65761,STARLINK-34889,SAT,-974234.38,5500733.41,3960813.8,477.05,-1,10.0.3.226,65761,879.06,6848.010414225044
541000,SAT_57463,STARLINK-30091,SAT,-2180316.63,5599719.23,3308794.98,486.79,-1,10.0.3.88,57463,881.85,6859.938795759009
