time_ms,node_id,name,type,ecef_x,ecef_y,ecef_z,altitude_km,orbit_id,ip,norad_id,distance_km,radius_km
0,SAT_63188,STARLINK-11642 [DTC],SAT,-1425010.73,5555753.78,3522800.84,358.8,-1,10.0.3.203,63188,410.25,6731.06094185041
0,SAT_63578,STARLINK-33719,SAT,-1318500.88,5739187.82,3512226.72,484.06,-1,10.0.3.83,63578,507.46,6856.563128600151
0,SAT_57919,STARLINK-30496,SAT,-1344139.23,5874447.98,3335853.65,514.84,-1,10.0.3.34,57919,536.16,6887.943736237209
0,SAT_67311,STARLINK-36495,SAT,-1264779.71,5896180.09,3264951.16,484.17,-1,10.0.3.246,67311,544.93,6857.442194122051
0,SAT_56547,STARLINK-6291,SAT,-1444732.38,5783986.83,3514633.69,547.98,-1,10.0.3.192,56547,553.07,6920.578391602607
0,SAT_59757,STARLINK-11114 [DTC],SAT,-1374165.35,5885128.76,2971866.18,360.66,-1,10.0.3.87,59757,558.54,6734.61650895933
0,SAT_56555,STARLINK-6252,SAT,-1334429.23,5770298.74,3565873.61,540.78,-1,10.0.3.200,56555,566.55,6913.212243322088
0,SAT_60444,STARLINK-32249,SAT,-1650740.83,5595190.84,3588142.62,476.54,-1,10.0.3.9,60444,570.71,6848.786263660843
0,SAT_56770,STARLINK-6342,SAT,-1475309.72,5889104.03,3381516.12,576.24,-1,10.0.3.160,56770,582.03,6949.297541184186
0,SAT_57924,STARLINK-30487,SAT,-1610888.8,5751079.54,3520068.49,559.98,-1,10.0.3.39,57924,588.53,6932.586874728865
0,SAT_57663,STARLINK-30267,SAT,-1133107.96,5946402.19,3204921.62,476.03,-1,10.0.3.33,57663,617.78,6849.463865485794
0,SAT_51809,STARLINK-3607,SAT,-1137430.04,5890190.13,3436873.33,540.93,-1,10.0.3.44,51809,622.38,6913.767796933095
0,SAT_64905,STARLINK-34273,SAT,-1849900.27,5665877.47,3374092.96,476.07,-1,10.0.3.135,64905,628.36,6849.000059623392
0,SAT_60936,STARLINK-11241 [DTC],SAT,-1805394.22,5375923.34,3630153.18,361.45,-1,10.0.3.246,60936,655.93,6733.350737740481
0,SAT_56544,STARLINK-6226,SAT,-1125577.01,5753854.67,3671310.46,545.44,-1,10.0.3.189,56544,668.78,6917.5347966328845
0,SAT_59944,STARLINK-31966,SAT,-1829422.63,5825389.19,3119558.93,482.95,-1,10.0.3.19,59944,676.07,6856.6459943523205
0,SAT_67334,STARLINK-35343,SAT,-1228334.1,5556131.34,3824041.03,484.39,-1,10.0.3.14,67334,689.67,6855.850780732941
0,SAT_47739,STARLINK-2150,SAT,-1575220.19,5460286.89,3822240.28,477.31,-1,10.0.3.54,47739,700.24,6848.764291910183
0,SAT_49451,STARLINK-3125,SAT,-1782985.22,5584515.09,3664208.9,541.09,-1,10.0.3.236,49451,700.39,6913.195494705424
0,SAT_64921,STARLINK-34699,SAT,-1475285.93,6011405.83,2933016.5,475.33,-1,10.0.3.151,64921,702.86,6849.529503366359
0,SAT_55452,STARLINK-5683,SAT,-1075012.57,6084325.86,3145910.99,559.64,-1,10.0.3.117,55452,766.66,6933.356269032013
0,SAT_67514,STARLINK-36530,SAT,-814762.86,5757471.14,3633013.17,484.35,-1,10.0.3.194,67514,800.98,6856.463894702701
