time_ms,node_id,role,type,ecef_x,ecef_y,ecef_z,ip,heading_deg,battery_pct
0,GS_01,CLIENT,GS,-1337502.5,5364429.5,3170603.2,10.0.0.1,-1.0,-1
0,UAV_01,RELAY,UAV,-1337513.0,5364471.5,3170628.2,10.0.0.2,89.4,100.0
0,UAV_02,RELAY,UAV,-1337158.5,5366298.4,3167706.5,10.0.0.3,103.4,100.0
0,UAV_03,RELAY,UAV,-1337880.2,5361906.2,3174785.6,10.0.0.4,281.7,100.0
100,GS_01,CLIENT,GS,-1337502.5,5364429.5,3170603.2,10.0.0.1,-1.0,-1
100,UAV_01,RELAY,UAV,-1337514.3,5364471.0,3170628.5,10.0.0.2,63.3,100.0
100,UAV_02,RELAY,UAV,-1337160.0,5366298.2,3167706.2,10.0.0.3,103.4,100.0
100,UAV_03,RELAY,UAV,-1337878.8,5361906.4,3174785.9,10.0.0.4,281.7,100.0
200,GS_01,CLIENT,GS,-1337502.5,5364429.5,3170603.2,10.0.0.1,-1.0,-1
200,UAV_01,RELAY,UAV,-1337515.3,5364470.3,3170629.3,10.0.0.2,39.5,100.0
200,UAV_02,RELAY,UAV,-1337161.4,5366298.0,3167705.9,10.0.0.3,103.4,100.0
200,UAV_03,RELAY,UAV,-1337877.3,5361906.6,3174786.1,10.0.0.4,281.7,100.0
300,GS_01,CLIENT,GS,-1337502.5,5364429.5,3170603.2,10.0.0.1,-1.0,-1
300,UAV_01,RELAY,UAV,-1337515.9,5364469.4,3170630.5,10.0.0.2,19.2,100.0
300,UAV_02,RELAY,UAV,-1337162.9,5366297.8,3167705.6,10.0.0.3,103.4,100.0
300,UAV_03,RELAY,UAV,-1337875.8,5361906.8,3174786.4,10.0.0.4,281.7,100.0
400,GS_01,CLIENT,GS,-1337502.5,5364429.5,3170603.2,10.0.0.1,-1.0,-1
400,UAV_01,RELAY,UAV,-1337516.0,5364468.7,3170631.7,10.0.0.2,1.4,100.0
400,UAV_02,RELAY,UAV,-1337164.4,5366297.6,3167705.3,10.0.0.3,103.4,100.0
400,UAV_03,RELAY,UAV,-1337874.4,5361907.0,3174786.7,10.0.0.4,281.7,100.0
500,GS_01,CLIENT,GS,-1337502.5,5364429.5,3170603.2,10.0.0.1,-1.0,-1
500,UAV_01,RELAY,UAV,-1337515.6,5364468.0,3170633.0,10.0.0.2,346.4,100.0
500,UAV_02,RELAY,UAV,-1337165.8,5366297.5,3167705.0,10.0.0.3,102.8,100.0
500,UAV_03,RELAY,UAV,-1337872.9,5361907.2,3174786.9,10.0.0.4,281.7,100.0
600,GS_01,CLIENT,GS,-1337502.5,5364429.5,3170603.2,10.0.0.1,-1.0,-1
600,UAV_01,RELAY,UAV,-1337515.0,5364467.4,3170634.2,10.0.0.2,333.1,99.9
600,UAV_02,RELAY,UAV,-1337167.3,5366297.3,3167704.7,10.0.0.3,102.8,99.9
600,UAV_03,RELAY,UAV,-1337871.4,5361907.5,3174787.2,10.0.0.4,281.7,99.9
700,GS_01,CLIENT,GS,-1337502.5,5364429.5,3170603.2,10.0.0.1,-1.0,-1
700,UAV_01,RELAY,UAV,-1337514.0,5364467.0,3170635.3,10.0.0.2,321.9,99.9
700,UAV_02,RELAY,UAV,-1337168.7,5366297.1,3167704.4,10.0.0.3,102.8,99.9
700,UAV_03,RELAY,UAV,-1337870.0,5361907.7,3174787.4,10.0.0.4,281.7,99.9
800,GS_01,CLIENT,GS,-1337502.5,5364429.5,3170603.2,10.0.0.1,-1.0,-1
800,UAV_01,RELAY,UAV,-1337512.9,5364466.7,3170636.3,10.0.0.2,311.1,99.9
800,UAV_02,RELAY,UAV,-1337170.2,5366296.9,3167704.1,10.0.0.3,102.8,99.9
800,UAV_03,RELAY,UAV,-1337868.5,5361907.9,3174787.7,10.0.0.4,281.7,99.9
900,GS_01,CLIENT,GS,-1337502.5,5364429.5,3170603.2,10.0.0.1,-1.0,-1
900,UAV_01,RELAY,UAV,-1337511.6,5364466.6,3170637.0,10.0.0.2,301.4,99.9
900,UAV_02,RELAY,UAV,-1337171.6,5366296.7,3167703.9,10.0.0.3,102.8,99.9
900,UAV_03,RELAY,UAV,-1337867.1,5361908.1,3174788.0,10.0.0.4,281.7,99.9
1000,GS_01,CLIENT,GS,-1337502.5,5364429.5,3170603.2,10.0.0.1,-1.0,-1
1000,UAV_01,RELAY,UAV,-1337510.3,5364466.6,3170637.6,10.0.0.2,292.7,99.9
1000,UAV_02,RELAY,UAV,-1337173.1,5366296.5,3167703.6,10.0.0.3,102.8,99.9
1000,UAV_03,RELAY,UAV,-1337865.6,5361908.3,3174788.2,10.0.0.4,281.7,99.9
1100,GS_01,CLIENT,GS,-1337502.5,5364429.5,3170603.2,10.0.0.1,-1.0,-1
1100,UAV_01,RELAY,UAV,-1337508.8,5364466.7,3170638.1,10.0.0.2,284.9,99.9
1100,UAV_02,RELAY,UAV,-1337174.6,5366296.3,3167703.3,10.0.0.3,102.8,99.9
1100,UAV_03,RELAY,UAV,-1337864.1,5361908.5,3174788.5,10.0.0.4,281.7,99.9
1200,GS_01,CLIENT,GS,-1337502.5,5364429.5,3170603.2,10.0.0.1,-1.0,-1
1200,UAV_01,RELAY,UAV,-1337507.4,5364466.9,3170638.3,10.0.0.2,277.2,99.9
1200,UAV_02,RELAY,UAV,-1337176.0,5366296.1,3167703.0,10.0.0.3,102.8,99.9
1200,UAV_03,RELAY,UAV,-1337862.7,5361908.7,3174788.7,10.0.0.4,281.1,99.9
1300,GS_01,CLIENT,GS,-1337502.5,5364429.5,3170603.2,10.0.0.1,-1.0,-1
1300,UAV_01,RELAY,UAV,-1337505.9,5364467.2,3170638.4,10.0.0.2,269.6,99.9
1300,UAV_02,RELAY,UAV,-1337177.5,5366295.9,3167702.7,10.0.0.3,102.8,99.9
1300,UAV_03,RELAY,UAV,-1337861.2,5361908.9,3174789.0,10.0.0.4,281.1,99.9
1400,GS_01,CLIENT,GS,-1337502.5,5364429.5,3170603.2,10.0.0.1,-1.0,-1
1400,UAV_01,RELAY,UAV,-1337504.5,5364467.6,3170638.3,10.0.0.2,262.8,99.9
1400,UAV_02,RELAY,UAV,-1337178.9,5366295.7,3167702.4,10.0.0.3,102.8,99.9
1400,UAV_03,RELAY,UAV,-1337859.8,5361909.1,3174789.2,10.0.0.4,281.1,99.9
1500,GS_01,CLIENT,GS,-1337502.5,5364429.5,3170603.2,10.0.0.1,-1.0,-1
1500,UAV_01,RELAY,UAV,-1337503.1,5364468.1,3170638.1,10.0.0.2,256.0,99.8
1500,UAV_02,RELAY,UAV,-1337180.4,5366295.5,3167702.1,10.0.0.3,102.8,99.8
1500,UAV_03,RELAY,UAV,-1337858.3,5361909.4,3174789.5,10.0.0.4,281.1,99.8
1600,GS_01,CLIENT,GS,-1337502.5,5364429.5,3170603.2,10.0.0.1,-1.0,-1
1600,UAV_01,RELAY,UAV,-1337501.7,5364468.7,3170637.7,10.0.0.2,250.1,99.8
1600,UAV_02,RELAY,UAV,-1337181.9,5366295.3,3167701.8,10.0.0.3,102.8,99.8
1600,UAV_03,RELAY,UAV,-1337856.8,5361909.6,3174789.7,10.0.0.4,281.1,99.8
1700,GS_01,CLIENT,GS,-1337502.5,5364429.5,3170603.2,10.0.0.1,-1.0,-1
1700,UAV_01,RELAY,UAV,-1337500.4,5364469.3,3170637.2,10.0.0.2,244.1,99.8
1700,UAV_02,RELAY,UAV,-1337183.3,5366295.1,3167701.5,10.0.0.3,102.8,99.8
1700,UAV_03,RELAY,UAV,-1337855.4,5361909.8,3174790.0,10.0.0.4,281.1,99.8
1800,GS_01,CLIENT,GS,-1337502.5,5364429.5,3170603.2,10.0.0.1,-1.0,-1
